eventCodeList	urn:uuid:2c6b8cb7-8b2a-4051-b291-b1ae6a575ef4	http://connectathon.ihe/ValueSet/eventCodeList					
code	display	codingScheme	system	submitter	date	ref	comment
urn:connectathon:bppc:foundational:policy	Foundational Connectathon Read-Access Policy	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing
urn:connectathon:policy:full-access	FULL ACCESS TO ALL POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing
urn:connectathon:policy:deny-access	DENY ACCESS TO ALL POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing
urn:connectathon:policy:deny-access-except-to-provider	DENY ACCESS EXCEPT TO PROVIDER POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing
urn:connectathon:policy:deny-access-to-provider	DENY ACCESS TO PROVIDER POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing
urn:connectathon:policy:deny-access-except-to-facility	DENY ACCESS EXCEPT TO FACILITY POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing
urn:connectathon:policy:deny-access-to-role	DENY ACCESS TO ROLE POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing
urn:connectathon:policy:full-access-to-role	FULL ACCESS TO ROLE POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing
1.3.6.1.4.1.21367.2017.7.104	Limit-document-visibility Policy	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2018.02.23	made up codes for Connectathon testing	For APPC Connectathon testing
MPQ-eventcode-1	MPQ-eventcode-1	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2017.11.30	made up codes for Connectathon testing	For MPQ Connectathont testing
MPQ-eventcode-2	MPQ-eventcode-2	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2017.11.30	made up codes for Connectathon testing	For MPQ Connectathont testing
1.3.6.1.4.1.21367.2006.7.106	OPT-OUT	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2017.11.30	made up codes for Connectathon testing	For BPPC Connectathon testing
1.3.6.1.4.1.21367.2006.7.108	OPT-IN	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe	felhofer.lynn@gmail.com	2017.11.30	made up codes for Connectathon testing	For BPPC Connectathon testing
urn:ihe:iti:xdw:2011:eventCode:open	Open Workflow	1.3.6.1.4.1.19376.1.2.3	urn:oid:1.3.6.1.4.1.19376.1.2.3	felhofer.lynn@gmail.com	2018.03.03	ITI TF-3: Table 5.4.6.1-1	
urn:ihe:iti:xdw:2011:eventCode:closed	Closed Workflow	1.3.6.1.4.1.19376.1.2.3	urn:oid:1.3.6.1.4.1.19376.1.2.3	felhofer.lynn@gmail.com	2018.03.03	Subset of ITI TF-3: Table 5.4.6.1-1	
1.2.840.10065.1.12.1.1	Author's Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12	felhofer.lynn@gmail.com	2018.03.02	Subset of ITI TF-3: Table 5.4.6.1-1	Lynn:  for DSG; note codingScheme is for ASTM
1.2.840.10065.1.12.1.4	Transcriptionist/Recorder Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12	felhofer.lynn@gmail.com	2018.03.02	Subset of ITI TF-3: Table 5.4.6.1-1	Lynn:  for DSG; note codingScheme is for ASTM
1.2.840.10065.1.12.1.5	Verification Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12	felhofer.lynn@gmail.com	2018.03.02	Subset of ITI TF-3: Table 5.4.6.1-1	Lynn:  for DSG; note codingScheme is for ASTM
1.2.840.10065.1.12.1.7	Consent Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12	felhofer.lynn@gmail.com	2018.03.02	Subset of ITI TF-3: Table 5.4.6.1-1	Lynn:  for DSG; note codingScheme is for ASTM
1.2.840.10065.1.12.1.8	Signature Witness Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12	felhofer.lynn@gmail.com	2018.03.02	Subset of ITI TF-3: Table 5.4.6.1-1	Lynn:  for DSG; note codingScheme is for ASTM
1.2.840.10065.1.12.1.12	Interpreter Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12	felhofer.lynn@gmail.com	2018.03.02	Subset of ITI TF-3: Table 5.4.6.1-1	Lynn:  for DSG; note codingScheme is for ASTM
1.2.840.10065.1.12.1.16	Modification Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12	felhofer.lynn@gmail.com	2018.03.02	Subset of ITI TF-3: Table 5.4.6.1-1	Lynn:  for DSG; note codingScheme is for ASTM
1.2.840.10065.1.12.1.17	Administrative (Error/Edit) Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12	felhofer.lynn@gmail.com	2018.03.02	Subset of ITI TF-3: Table 5.4.6.1-1	Lynn:  for DSG; note codingScheme is for ASTM
1.2.840.10065.1.12.1.18	Timestamp Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12	felhofer.lynn@gmail.com	2018.03.02	Subset of ITI TF-3: Table 5.4.6.1-1	Lynn:  for DSG; note codingScheme is for ASTM
AR	Autorefraction	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	http://dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
BI	Biomagnetic Imaging	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	felhofer.lynn@gmail.com	2020.12.10	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
BMD	Bone Mineral Densitometry	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
EPS	Cardiac Electrophysiology	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
CR	Computed Radiography	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
CT	Computed Tomography	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
DMS	Dermoscopy	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	felhofer.lynn@gmail.com	2020.12.10	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
DG	Diaphanography	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	felhofer.lynn@gmail.com	2020.12.10	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
DX	Digital Radiography	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
ECG	Electrocardiography	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
EEG	Electrooculography	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	felhofer.lynn@gmail.com	2020.12.10	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
EMG	Electromyography	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	felhofer.lynn@gmail.com	2020.12.10	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
EOG	Electrooculography	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	felhofer.lynn@gmail.com	2020.12.10	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
ES	Endoscopy	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
XC	External-camera Photography	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
GM	General Microscopy	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
HD	Hemodynamic Waveform	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
IO	Intra-oral Radiography	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
IVOCT	Intravascular Optical Coherence Tomography	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
IVUS	Intravascular Ultrasound	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
KER	Keratometry	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
LS	Laser Scan	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	felhofer.lynn@gmail.com	2020.12.10	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
LEN	Lensometry	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
MR	Magnetic Resonance	1.2.840.10008.2.6.1	http://dicom.nema.org/resources/ontology/DCM	moore.stephen.m@wustl.edu	2017.11.20	dicom.nema.org/medical/dicom/current/output/html/part16.html#sect_CID_29	DICOM PS 3.16 CID 29
